Author	Authority	ISNI	QA_Status
Stevenson, Robert Louis,	LCNACO|Robert Louis Stevenson	https://isni.org/isni/0000000122831567	ISNIQAPASS
Spence, Lewis,	LCNACO|Lewis Spence	https://isni.org/isni/0000000109177118	ISNIQAPASS
Jardine, May B.			
Mair, William,			
Mair, William,			
Mair, William,			
Mair, William,			
Mair, William,			
Mair, William,			
Mair, William,			
Mair, William,			
Mair, William,			
Scott, Manda,			
McCall Smith, Alexander,	LCNACO|Alexander McCall Smith	https://isni.org/isni/0000000114508989	ISNIQAPASS
McCall Smith, Alexander,	LCNACO|Alexander McCall Smith	https://isni.org/isni/0000000114508989	ISNIQAPASS
McCall Smith, Alexander,	LCNACO|Alexander McCall Smith	https://isni.org/isni/0000000114508989	ISNIQAPASS
Oswald, James,	LCNACO|James Oswald	https://isni.org/isni/0000000077317808	ISNIQAPASS
Miller, John,			
Kay, Jackie,	LCNACO|Jackie Kay	https://isni.org/isni/0000000108753136	ISNIQAPASS
Paterson, Don,	LCNACO|Don Paterson	https://isni.org/isni/0000000121293699	ISNIQAPASS
Gall, Sandy,	LCNACO|Sandy Gall	https://isni.org/isni/0000000081756934	ISNIQAPASS
Boyd, William,	NLS|William Boyd	https://isni.org/isni/000000012147887X	ISNIQAPASS
MacLennan, Iain,			
White, Kenneth,	LCNACO|Kenneth White	https://isni.org/isni/0000000121318569	ISNIQAPASS
Stevenson, Robert Louis,	LCNACO|Robert Louis Stevenson	https://isni.org/isni/0000000122831567	ISNIQAPASS
Coley, Nathan,	LCNACO|Nathan Coley	https://isni.org/isni/0000000121295782	ISNIQAPASS
Gifford, John,			
Bryce, James Bryce,	LCNACO|James Bryce Bryce Viscount	https://isni.org/isni/0000000122787498	ISNIQAPASS
Mackenzie, Niall,	LCNACO|Niall Mackenzie	https://isni.org/isni/0000000039280880	ISNIQAPASS
Morrison, John Lowrie,	LCNACO|John Lowrie Morrison	https://isni.org/isni/0000000078943341	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491	ISNIQAPASS
