Author	Authority	ISNI
Pattison, George,	LCNACO|George Pattison	https://isni.org/isni/0000000109122969
Forbes, William,	LCNACO|W. Cameron Forbes	https://isni.org/isni/0000000122090199
Wilson, James,	LCNACO|James Wilson	https://isni.org/isni/0000000083947240
Wilson, James,	LCNACO|James Wilson	https://isni.org/isni/0000000083947240
Wilson, James,	LCNACO|James Wilson	https://isni.org/isni/0000000083947240
Scott, Walter,	NLS|Walter, Scott Sir,	https://isni.org/isni/0000000121441874
Stevenson, Robert Louis,	LCNACO|Robert Louis Stevenson	https://isni.org/isni/0000000122831567
Stevenson, Robert Louis,	LCNACO|Robert Louis Stevenson	https://isni.org/isni/0000000122831567
O'Hagan, Andrew,	LCNACO|Andrew of Crete, Saint	https://isni.org/isni/0000000453021542
O'Hagan, Andrew,	LCNACO|Andrew of Crete, Saint	https://isni.org/isni/0000000453021542
Spence, Alan,	LCNACO|Alan Spence	https://isni.org/isni/0000000116813565
Doyle, Arthur Conan,	LCNACO|Arthur Conan Doyle	https://isni.org/isni/0000000122810491
Burns, Robert,	LCNACO|Robert Burns	https://isni.org/isni/0000000081108515
Cunnynghame, Alexander,		
Erskine, Thomas Erskine,	LCNACO|Thomas Erskine Erskine Baron	https://isni.org/isni/0000000083860292
Erskine, Thomas Erskine,	LCNACO|Thomas Erskine Erskine Baron	https://isni.org/isni/0000000083860292
Stevenson, David,	LCNACO|David Stevenson	https://isni.org/isni/0000000124112478
McDermid, Val,		https://isni.org/isni/0000000108589903
McDermid, Val,		https://isni.org/isni/0000000108589903
McDermid, Val,		https://isni.org/isni/0000000108589903
Adamson, Donald,		https://isni.org/isni/0000000110060929
Thomas, Fiona,		https://isni.org/isni/0000000497127074
Lewis, Matt,		
Lochhead, Liz,	LCNACO|Liz Lochhead	https://isni.org/isni/000000010885237X
Oliphant,	LCNACO|Oliphant Mrs	https://isni.org/isni/0000000121319350
Scott, Walter,	NLS|Walter, Scott Sir,	https://isni.org/isni/0000000121441874
Wilkins, Frances,		
Birrell, George,		
Stevenson, Robert Louis,	LCNACO|Robert Louis Stevenson	https://isni.org/isni/0000000122831567
MacMillan, James,	LCNACO|James MacMillan	https://isni.org/isni/0000000110068736
Smith, David,		
McCall Smith, Alexander,	LCNACO|Alexander McCall Smith	https://isni.org/isni/0000000114508989
Combe, George,	LCNACO|George Combe	https://isni.org/isni/0000000080769071
Boswell, James,	LCNACO|James Boswell	https://isni.org/isni/0000000121363095
Ramsay, Allan,	NLS|Allan Ramsay	https://isni.org/isni/0000000116764943
Thomson, James,	LCNACO|James Thomson	https://isni.org/isni/0000000108717821
James	LCNACO|James King of England	https://isni.org/isni/0000000109229555
Smith, Adam,	LCNACO|Adam Smith	https://isni.org/isni/0000000122796642
Ruddiman, Thomas,	LCNACO|Thomas Ruddiman	https://isni.org/isni/0000000122835947
Wilson, Neil,		https://isni.org/isni/0000000071419635
Brown, James,		
Buchanan, George,	LCNACO|George Buchanan	https://isni.org/isni/0000000121463184
Buchanan, George,	LCNACO|George Buchanan	https://isni.org/isni/0000000121463184
Buchanan, George,	LCNACO|George Buchanan	https://isni.org/isni/0000000121463184
Hume, David,	NLS|David Hume	https://isni.org/isni/0000000121318235
Gordon, George Stuart,	LCNACO|George Stuart Gordon	https://isni.org/isni/0000000109079956
Gordon, George Stuart,	LCNACO|George Stuart Gordon	https://isni.org/isni/0000000109079956
Gordon, George Stuart,	LCNACO|George Stuart Gordon	https://isni.org/isni/0000000109079956
Gordon, George Stuart,	LCNACO|George Stuart Gordon	https://isni.org/isni/0000000109079956
Gordon, George Stuart,	LCNACO|George Stuart Gordon	https://isni.org/isni/0000000109079956
